Generated by database/atmosphere/generate_atmosphere_table.py (pymsis)

Model: NRLMSISE-00
Date and time (UTC): 2015-01-01T01:30:00+00:00
Longitude [deg. East]: 1 point(s), 45.0 to 45.0
Latitude [deg. North]: 1 point(s), 55.0 to 55.0
F10.7 = 140.0, F10.7A = 146.0, Ap = 8.0
The species below the lower bound of the model are written as zero.

   Selected parameters are:
1 Height, km
2 O, cm-3
3 N2, cm-3
4 O2, cm-3
5 Mass_density, g/cm-3
6 Temperature_neutral, K
7 N, cm-3

          1          2          3          4          5          6          7
       62.0  0.000e+00  2.897e+15  7.773e+14  1.783e-07  2.340e+02  0.000e+00
       63.0  0.000e+00  2.530e+15  6.779e+14  1.556e-07  2.321e+02  0.000e+00
       64.0  0.000e+00  2.206e+15  5.897e+14  1.356e-07  2.302e+02  0.000e+00
       65.0  0.000e+00  1.921e+15  5.122e+14  1.180e-07  2.285e+02  0.000e+00
       66.0  0.000e+00  1.670e+15  4.442e+14  1.026e-07  2.269e+02  0.000e+00
       67.0  0.000e+00  1.450e+15  3.847e+14  8.898e-08  2.254e+02  0.000e+00
       68.0  0.000e+00  1.257e+15  3.327e+14  7.710e-08  2.240e+02  0.000e+00
       69.0  0.000e+00  1.088e+15  2.873e+14  6.671e-08  2.228e+02  0.000e+00
       70.0  0.000e+00  9.408e+14  2.478e+14  5.763e-08  2.217e+02  0.000e+00
       71.0  0.000e+00  8.122e+14  2.134e+14  4.973e-08  2.208e+02  0.000e+00
       72.0  0.000e+00  7.003e+14  1.835e+14  4.285e-08  2.200e+02  0.000e+00
       73.0  7.678e+06  6.040e+14  1.579e+14  3.694e-08  2.194e+02  2.284e+04
       74.0  1.985e+07  5.203e+14  1.358e+14  3.181e-08  2.187e+02  2.466e+04
       75.0  5.027e+07  4.482e+14  1.167e+14  2.738e-08  2.178e+02  2.665e+04
       76.0  1.238e+08  3.861e+14  1.003e+14  2.358e-08  2.169e+02  2.884e+04
       77.0  2.947e+08  3.325e+14  8.616e+13  2.030e-08  2.158e+02  3.124e+04
       78.0  6.733e+08  2.864e+14  7.399e+13  1.747e-08  2.146e+02  3.387e+04
       79.0  1.470e+09  2.465e+14  6.351e+13  1.503e-08  2.134e+02  3.674e+04
       80.0  3.057e+09  2.121e+14  5.448e+13  1.292e-08  2.120e+02  3.987e+04
       81.0  6.037e+09  1.824e+14  4.669e+13  1.110e-08  2.105e+02  4.328e+04
       82.0  1.130e+10  1.568e+14  3.998e+13  9.536e-09  2.090e+02  4.698e+04
       83.0  2.005e+10  1.347e+14  3.420e+13  8.183e-09  2.074e+02  5.098e+04
       84.0  3.372e+10  1.156e+14  2.923e+13  7.016e-09  2.057e+02  5.531e+04
       85.0  5.380e+10  9.909e+13  2.494e+13  6.010e-09  2.039e+02  5.998e+04
       86.0  8.155e+10  8.488e+13  2.126e+13  5.143e-09  2.021e+02  6.501e+04
       87.0  1.177e+11  7.262e+13  1.809e+13  4.396e-09  2.002e+02  7.040e+04
       88.0  1.622e+11  6.207e+13  1.537e+13  3.754e-09  1.983e+02  7.618e+04
       89.0  2.138e+11  5.298e+13  1.304e+13  3.201e-09  1.963e+02  8.235e+04
       90.0  2.705e+11  4.516e+13  1.104e+13  2.727e-09  1.943e+02  8.893e+04
       91.0  3.293e+11  3.844e+13  9.325e+12  2.320e-09  1.923e+02  9.592e+04
       92.0  3.870e+11  3.265e+13  7.858e+12  1.970e-09  1.903e+02  1.033e+05
       93.0  4.400e+11  2.768e+13  6.603e+12  1.670e-09  1.885e+02  1.111e+05
       94.0  4.852e+11  2.341e+13  5.531e+12  1.412e-09  1.869e+02  1.192e+05
       95.0  5.205e+11  1.974e+13  4.616e+12  1.191e-09  1.855e+02  1.276e+05
       96.0  5.444e+11  1.660e+13  3.839e+12  1.002e-09  1.844e+02  1.364e+05
       97.0  5.566e+11  1.392e+13  3.180e+12  8.408e-10  1.838e+02  1.456e+05
       98.0  5.577e+11  1.164e+13  2.625e+12  7.037e-10  1.836e+02  1.550e+05
       99.0  5.487e+11  9.712e+12  2.158e+12  5.874e-10  1.840e+02  1.649e+05
      100.0  5.314e+11  8.081e+12  1.768e+12  4.891e-10  1.849e+02  1.751e+05
      101.0  5.074e+11  6.709e+12  1.443e+12  4.064e-10  1.865e+02  1.858e+05
      102.0  4.789e+11  5.562e+12  1.175e+12  3.372e-10  1.889e+02  1.971e+05
      103.0  4.477e+11  4.607e+12  9.548e+11  2.796e-10  1.919e+02  2.091e+05
      104.0  4.152e+11  3.816e+12  7.749e+11  2.319e-10  1.956e+02  2.219e+05
      105.0  3.826e+11  3.163e+12  6.285e+11  1.924e-10  2.000e+02  2.358e+05
      106.0  3.507e+11  2.624e+12  5.098e+11  1.598e-10  2.052e+02  2.508e+05
      107.0  3.202e+11  2.180e+12  4.137e+11  1.330e-10  2.111e+02  2.669e+05
      108.0  2.914e+11  1.815e+12  3.362e+11  1.109e-10  2.179e+02  2.844e+05
      109.0  2.645e+11  1.514e+12  2.736e+11  9.269e-11  2.255e+02  3.033e+05
      110.0  2.397e+11  1.267e+12  2.231e+11  7.769e-11  2.340e+02  3.236e+05
      111.0  2.168e+11  1.063e+12  1.823e+11  6.532e-11  2.435e+02  3.454e+05
      112.0  1.960e+11  8.943e+11  1.495e+11  5.510e-11  2.540e+02  3.688e+05
      113.0  1.770e+11  7.552e+11  1.229e+11  4.664e-11  2.655e+02  3.937e+05
      114.0  1.599e+11  6.400e+11  1.014e+11  3.963e-11  2.782e+02  4.204e+05
      115.0  1.444e+11  5.446e+11  8.405e+10  3.382e-11  2.919e+02  4.489e+05
      116.0  1.306e+11  4.653e+11  6.995e+10  2.898e-11  3.068e+02  4.793e+05
      117.0  1.182e+11  3.994e+11  5.849e+10  2.495e-11  3.226e+02  5.120e+05
      118.0  1.072e+11  3.446e+11  4.916e+10  2.159e-11  3.393e+02  5.471e+05
      119.0  9.748e+10  2.989e+11  4.156e+10  1.878e-11  3.567e+02  5.852e+05
      120.0  8.893e+10  2.608e+11  3.536e+10  1.644e-11  3.744e+02  6.269e+05
      121.0  8.145e+10  2.290e+11  3.029e+10  1.448e-11  3.921e+02  6.730e+05
      122.0  7.500e+10  2.027e+11  2.615e+10  1.286e-11  4.091e+02  7.246e+05
      123.0  6.949e+10  1.808e+11  2.277e+10  1.151e-11  4.246e+02  7.833e+05
      124.0  6.496e+10  1.630e+11  2.004e+10  1.041e-11  4.372e+02  8.523e+05
      125.0  6.083e+10  1.474e+11  1.770e+10  9.443e-12  4.498e+02  9.267e+05
      126.0  5.709e+10  1.338e+11  1.570e+10  8.601e-12  4.620e+02  1.007e+06
      127.0  5.371e+10  1.219e+11  1.398e+10  7.861e-12  4.737e+02  1.095e+06
      128.0  5.063e+10  1.113e+11  1.248e+10  7.207e-12  4.851e+02  1.189e+06
      129.0  4.781e+10  1.020e+11  1.119e+10  6.627e-12  4.961e+02  1.290e+06
      130.0  4.524e+10  9.371e+10  1.006e+10  6.111e-12  5.068e+02  1.398e+06
      131.0  4.287e+10  8.630e+10  9.069e+09  5.649e-12  5.171e+02  1.513e+06
      132.0  4.069e+10  7.966e+10  8.199e+09  5.234e-12  5.271e+02  1.636e+06
      133.0  3.868e+10  7.369e+10  7.431e+09  4.861e-12  5.367e+02  1.766e+06
      134.0  3.681e+10  6.829e+10  6.751e+09  4.523e-12  5.460e+02  1.903e+06
      135.0  3.509e+10  6.341e+10  6.148e+09  4.217e-12  5.550e+02  2.049e+06
      136.0  3.348e+10  5.899e+10  5.611e+09  3.939e-12  5.637e+02  2.201e+06
      137.0  3.198e+10  5.495e+10  5.131e+09  3.686e-12  5.721e+02  2.361e+06
