Generated by database/atmosphere/generate_atmosphere_table.py (pymsis)

Model: NRLMSISE-00
Date and time (UTC): 1965-05-22T22:21:57+00:00
Longitude [deg. East]: 1 point(s), -16.9 to -16.9
Latitude [deg. North]: 1 point(s), -7.4 to -7.4
F10.7 = 75.0, F10.7A = 75.0, Ap = 4.0
The species below the lower bound of the model are written as zero.

   Selected parameters are:
1 Height, km
2 O, cm-3
3 N2, cm-3
4 O2, cm-3
5 Mass_density, g/cm-3
6 Temperature_neutral, K
7 N, cm-3

          1          2          3          4          5          6          7
       62.0  0.000e+00  4.255e+15  1.142e+15  2.618e-07  2.362e+02  0.000e+00
       63.0  0.000e+00  3.746e+15  1.005e+15  2.305e-07  2.327e+02  0.000e+00
       64.0  0.000e+00  3.290e+15  8.820e+14  2.024e-07  2.293e+02  0.000e+00
       65.0  0.000e+00  2.883e+15  7.724e+14  1.773e-07  2.260e+02  0.000e+00
       66.0  0.000e+00  2.519e+15  6.747e+14  1.549e-07  2.229e+02  0.000e+00
       67.0  0.000e+00  2.196e+15  5.877e+14  1.350e-07  2.201e+02  0.000e+00
       68.0  0.000e+00  1.908e+15  5.105e+14  1.173e-07  2.174e+02  0.000e+00
       69.0  0.000e+00  1.654e+15  4.422e+14  1.017e-07  2.150e+02  0.000e+00
       70.0  0.000e+00  1.430e+15  3.820e+14  8.787e-08  2.129e+02  0.000e+00
       71.0  0.000e+00  1.232e+15  3.291e+14  7.573e-08  2.110e+02  0.000e+00
       72.0  0.000e+00  1.059e+15  2.828e+14  6.510e-08  2.095e+02  0.000e+00
       73.0  6.724e+06  9.132e+14  2.437e+14  5.611e-08  2.084e+02  3.976e+04
       74.0  1.726e+07  7.816e+14  2.084e+14  4.802e-08  2.075e+02  4.277e+04
       75.0  4.336e+07  6.680e+14  1.779e+14  4.103e-08  2.067e+02  4.600e+04
       76.0  1.058e+08  5.701e+14  1.517e+14  3.501e-08  2.062e+02  4.946e+04
       77.0  2.490e+08  4.860e+14  1.292e+14  2.984e-08  2.059e+02  5.320e+04
       78.0  5.626e+08  4.140e+14  1.099e+14  2.541e-08  2.057e+02  5.722e+04
       79.0  1.214e+09  3.524e+14  9.340e+13  2.162e-08  2.056e+02  6.157e+04
       80.0  2.495e+09  2.997e+14  7.933e+13  1.838e-08  2.057e+02  6.627e+04
       81.0  4.869e+09  2.549e+14  6.734e+13  1.563e-08  2.058e+02  7.136e+04
       82.0  9.014e+09  2.167e+14  5.714e+13  1.328e-08  2.061e+02  7.689e+04
       83.0  1.583e+10  1.843e+14  4.846e+13  1.128e-08  2.065e+02  8.289e+04
       84.0  2.636e+10  1.567e+14  4.110e+13  9.588e-09  2.069e+02  8.942e+04
       85.0  4.169e+10  1.332e+14  3.485e+13  8.149e-09  2.074e+02  9.653e+04
       86.0  6.273e+10  1.133e+14  2.955e+13  6.927e-09  2.079e+02  1.043e+05
       87.0  9.002e+10  9.646e+13  2.505e+13  5.891e-09  2.084e+02  1.127e+05
       88.0  1.235e+11  8.213e+13  2.124e+13  5.012e-09  2.089e+02  1.220e+05
       89.0  1.624e+11  6.997e+13  1.801e+13  4.267e-09  2.095e+02  1.321e+05
       90.0  2.054e+11  5.965e+13  1.528e+13  3.635e-09  2.100e+02  1.432e+05
       91.0  2.505e+11  5.089e+13  1.296e+13  3.099e-09  2.104e+02  1.554e+05
       92.0  2.955e+11  4.346e+13  1.099e+13  2.644e-09  2.108e+02  1.688e+05
       93.0  3.384e+11  3.715e+13  9.328e+12  2.259e-09  2.110e+02  1.836e+05
       94.0  3.772e+11  3.180e+13  7.920e+12  1.932e-09  2.111e+02  2.000e+05
