# Restart data (ECEF, cartesian system)
# Iteration, Elapsed time
# 2773 2773.0
-3772365.4475379265 3000674.967768374 4388053.261258401 -4637.7340429502665 -5830.430768550484 0.0
-3777000.9049886186 2994842.731442396 4388050.100146664 -4633.1798410976835 -5834.040602714179 -6.322222049010792
-3781631.8051863206 2989006.889125024 4388040.6168186385 -4628.619537844222 -5837.642750645385 -12.644431090485515
-3786258.1420322545 2983167.448504569 4388024.811291796 -4624.053138435693 -5841.237208188996 -18.96661819174415
-3790879.909432891 2977324.417273491 4388002.683592546 -4619.480648125471 -5844.823971199444 -25.28877442013038
-3795497.1012999583 2971477.8031283934 4387974.233756225 -4614.902072174483 -5848.403035540698 -31.610890843022503
-3800109.711550449 2965627.6137700086 4387939.461827106 -4610.317415851208 -5851.97439708627 -37.93295852784428
-3804717.734106628 2959773.8569031917 4387898.367858391 -4605.726684431676 -5855.538051719218 -44.25496854207586
-3809321.1628960413 2953916.540236911 4387850.9519122215 -4601.129883199455 -5859.093995332148 -50.57691195326465
-3813919.9918515193 2948055.6714842343 4387797.214059664 -4596.527017445653 -5862.642223827219 -56.89877982903617
-3818514.214911191 2942191.2583623254 4387737.15438072 -4591.918092468906 -5866.182733116145 -63.22056323710502
-3823103.826018485 2936323.3085924303 4387670.772964323 -4587.303113575382 -5869.715519120204 -69.54225324528565
-3827688.8191221403 2930451.8298998694 4387598.0699083395 -4582.682086078769 -5873.2405777702315 -75.86384092150334
-3832269.1881762147 2924576.8300140277 4387519.045319567 -4578.055015300274 -5876.757905006632 -82.18531733380506
-3836844.9271400897 2918698.316668344 4387433.6993137365 -4573.421906568618 -5880.267496779381 -88.50667355037027
-3841416.0299784793 2912816.2976003033 4387342.032015509 -4568.782765220029 -5883.769349048025 -94.82790063952194
-3845982.490661438 2906930.7805514266 4387244.043558477 -4564.1375965982415 -5887.263457781688 -101.14898966973735
-3850544.303164368 2901041.77326726 4387139.734085166 -4559.486406054483 -5890.749818959076 -107.46993170965894
-3855101.4614680256 2895149.2834973657 4387029.103747032 -4554.82919894748 -5894.2284285684755 -113.79071782810526
-3859653.9595585302 2889253.3189953133 4386912.15270446 -4550.165980643447 -5897.699282607761 -120.11133909408181
-3864201.791427371 2883353.887518671 4386788.88112677 -4545.496756516081 -5901.162377084401 -126.43178657679196
-3868744.951071415 2877450.9968289933 4386659.28919221 -4540.821531946561 -5904.617708015452 -132.7520513456477
-3873283.432492913 2871544.6546918135 4386523.37708796 -4536.140312323538 -5908.065271427569 -139.07212447028067
-3877817.2296995097 2865634.8688766332 4386381.145010128 -4531.453103043132 -5911.505063357013 -145.39199702055302
-3882346.3367042476 2859721.6471569124 4386232.593163753 -4526.759909508932 -5914.937079849642 -151.71166006656816
-3886870.747525579 2853804.9973100615 4386077.721762806 -4522.060737131983 -5918.361316960923 -158.03110467868174
-3891390.4561873693 2847884.9271174297 4385916.531030185 -4517.3555913307855 -5921.777770755935 -164.35032192751254
-3895905.456718907 2841961.4443642967 4385749.021197716 -4512.644477531292 -5925.186437309372 -170.6693028839532
-3900415.74315491 2836034.5568398633 4385575.192506157 -4507.9274011669 -5928.587312705541 -176.9880386191813
-3904921.3095355327 2830104.2723372406 4385395.045205193 -4503.204367678445 -5931.980393038374 -183.30652020467005
-3909422.149906375 2824170.5986534404 4385208.579553438 -4498.4753825142 -5935.365674411424 -189.6247387121993
-3913918.2583184876 2818233.543589367 4385015.795818437 -4493.740451129867 -5938.74315293787 -195.94268521386627
-3918409.6288283817 2812293.114949807 4384816.694276656 -4488.999578988575 -5942.112824740526 -202.26035078209654
-3922896.255498035 2806349.3205434172 4384611.275213493 -4484.252771560874 -5945.474685951835 -208.57772648965485
-3927378.1323948996 2800402.16818272 4384399.538923273 -4479.500034324728 -5948.8287327138805 -214.89480340965596
-3931855.2535919095 2794451.665684089 4384181.485709245 -4474.741372765514 -5952.174961178381 -221.2115726155756
-3936327.613167487 2788497.8208677424 4383957.115883588 -4469.976792376012 -5955.513367506705 -227.5280251812612
-3940795.2052055513 2782540.641557731 4383726.429767405 -4465.206298656404 -5958.843947869866 -233.84415218094296
-3945258.0237955255 2776580.135581931 4383489.427690724 -4460.429897114271 -5962.166698448523 -240.15994468924444
-3949716.063032344 2770616.3107720325 4383246.1099924985 -4455.647593264579 -5965.48161543299 -246.47539378119367
-3954169.3170164595 2764649.1749635306 4382996.477020608 -4450.859392629686 -5968.788695023242 -252.7904905322339
-3958617.7798538515 2758678.7359957146 4382740.529131855 -4446.065300739327 -5972.087933428908 -259.10522601823436
-3963061.4456560323 2752705.001711661 4382478.266691967 -4441.265323130614 -5975.3793268692825 -265.4195913155014
-3967500.308540055 2746727.9799582213 4382209.690075595 -4436.459465348031 -5978.662871573325 -271.7335775007891
-3971934.3626285205 2740747.678586013 4381934.799666311 -4431.6477329434265 -5981.938563779665 -278.0471756513102
-3976363.602049587 2734764.1054494116 4381653.595856612 -4426.830131476013 -5985.206399736602 -284.3603768447469
-3980788.020936974 2728777.2684065374 4381366.079047915 -4422.006666512354 -5988.466375702114 -290.67317215926175
-3985207.613429971 2722787.175319249 4381072.249650559 -4417.177343626369 -5991.718487943856 -296.9855526735087
-3989622.373673446 2716793.834053132 4380772.108083808 -4412.342168399322 -5994.962732739164 -303.2975094666439
-3994032.295817852 2710797.252477491 4380465.654775841 -4407.501146419815 -5998.199106375058 -309.60903361833607
-3998437.374019233 2704797.438465337 4380152.89016376 -4402.6542832837895 -6001.42760514825 -315.9201162087779
-4002837.6024392345 2698794.3998933802 4379833.814693585 -4397.801584594515 -6004.64822536514 -322.2307483186968
-4007232.975245108 2692788.14464202 4379508.428820256 -4392.943055962589 -6007.860963341821 -328.54092102936545
-4011623.486609718 2686778.680595335 4379176.733007633 -4388.078703005929 -6011.065815404087 -334.85062542261306
-4016009.1307115527 2680766.0156410723 4378838.72772849 -4383.208531349767 -6014.262777887428 -341.15985258083595
-4020389.901734728 2674750.157670639 4378494.413464522 -4378.332546626648 -6017.451847137039 -347.46859358700857
-4024765.7938689967 2668731.114579092 4378143.790706339 -4373.450754476419 -6020.6330195078235 -353.776839524694
-4029136.801309754 2662708.8942651283 4377786.859953468 -4368.563160546231 -6023.806291364391 -360.0845814780553
-4033502.9182580477 2656683.504631076 4377423.621714351 -4363.669770490529 -6026.971659081068 -366.391810531866
-4037864.138920581 2650654.9535828843 4377054.076506343 -4358.770589971046 -6030.129119041891 -372.69851777152076
-4042220.4575097244 2644623.249030113 4376678.224855717 -4353.865624656803 -6033.278667640617 -379.0046942830469
-4046571.8682435215 2638588.398885923 4376296.067297658 -4348.954880224099 -6036.420301280727 -385.3103311531146
-4050918.365345694 2632550.411067067 4375907.604376262 -4344.038362356507 -6039.554016375421 -391.61541946904794
-4055259.943045653 2626509.29349388 4375512.8366445415 -4339.116076744872 -6042.679809347635 -397.9199503188357
-4059596.595578502 2620465.054090269 4375111.764664417 -4334.188029087302 -6045.797676630025 -404.22391479114225
-4063928.317185047 2614417.7007837025 4374704.389006723 -4329.254225089166 -6048.907614664989 -410.52730397531855
-4068255.1021118043 2608367.241505204 4374290.7102512 -4324.3146704630835 -6052.009619904657 -416.8301089614125
-4072576.9446110046 2602313.684189338 4373870.728986504 -4319.369370928928 -6055.103688810898 -423.13232084018034
-4076893.8389406027 2596257.036774203 4373444.445810192 -4314.418332213812 -6058.189817855325 -429.43393070309696
-4081205.779364283 2590197.3072014214 4373011.861328738 -4309.461560052088 -6061.268003519294 -435.73492964236715
-4085512.760151471 2584134.5034161285 4372572.976157518 -4304.499060185345 -6064.338242293912 -442.035308750936
-4089814.775577335 2578068.633366964 4372127.790920815 -4299.530838362395 -6067.400530680034 -448.3350591225001
-4094111.8199227955 2571999.705006061 4371676.306251821 -4294.556900339278 -6070.454865188269 -454.6341718515184
-4098403.887474534 2565927.72628904 4371218.522792629 -4289.577251879248 -6073.5012423389835 -460.9326380332224
-4102690.9725249987 2559852.705174993 4370754.441194239 -4284.591898752774 -6076.539658662303 -467.23044876362786
-4106973.0693724104 2553774.649626478 4370284.062116554 -4279.60084673753 -6079.570110698114 -473.52759513954487
-4111250.172320773 2547693.5676095095 4369807.386228379 -4274.604101618394 -6082.592594996071 -479.824068258589
-4115522.2756798766 2541609.4670935455 4369324.414207422 -4269.601669187441 -6085.607108115593 -486.1198592191922
-4119789.3737653093 2535522.3560514813 4368835.146740293 -4264.593555243934 -6088.613646625872 -492.4149591206134
-4124051.4608984618 2529432.242459637 4368339.584522501 -4259.579765594327 -6091.6122071058735 -498.7093590629494
-4128308.531406534 2523339.13429775 4367837.728258453 -4254.560306052252 -6094.602786144337 -505.00305014714553
-4132560.5796225425 2517243.039548963 4367329.578661458 -4249.535182438517 -6097.585380339782 -511.29602347500685
-4136807.5998853296 2511143.9661998157 4366815.13645372 -4244.504400581102 -6100.55998630051 -517.5882701492085
-4141049.5865395684 2505041.9222402344 4366294.402366341 -4239.467966315151 -6103.526600644607 -523.8797812733065
-4145286.5339357704 2498936.9156635227 4365767.3771393215 -4234.425885482968 -6106.485219999947 -530.1705479517494
-4149518.4364302945 2492828.9544663513 4365234.061521552 -4229.37816393401 -6109.435841004191 -536.4605612898878
-4153745.288385351 2486718.0466487487 4364694.4562708195 -4224.324807524887 -6112.378460304797 -542.7498123939857
-4157967.0841690116 2480604.2002140908 4364148.562153806 -4219.265822119347 -6115.313074559014 -549.0382923712316
-4162183.818155214 2474487.4231690904 4363596.379946083 -4214.2012135882815 -6118.239680433891 -555.3259923297492
-4166395.484723772 2468367.72352379 4363037.910432116 -4209.130987809714 -6121.1582746062795 -561.6129033786075
-4170602.078260379 2462245.10929155 4362473.1544052595 -4204.055150668793 -6124.068853762829 -567.8990166278327
-4174803.5931566195 2456119.588489038 4361902.112667757 -4198.973708057794 -6126.9714146000015 -574.184323188418
-4179000.0238099713 2449991.1691362215 4361324.786030742 -4193.886665876105 -6129.865953824061 -580.4688141723346
-4183191.3646238167 2443859.859256356 4360741.175314235 -4188.794030030229 -6132.752468151087 -586.7524806925431
-4187377.610007448 2437725.666875976 4360151.281347141 -4183.695806433773 -6135.630954306972 -593.0353138630035
-4191558.754376074 2431588.600024887 4359555.104967254 -4178.592001007446 -6138.5014090274235 -599.317304798686
-4195734.792150829 2425448.6667361516 4358952.64702125 -4173.482619679052 -6141.363829057968 -605.5984446155827
